year,month,time,ts,m,temperature
1779,10,1779-10-15 00:00:00,1779.7916666666667,oct,10.4
1779,11,1779-11-15 00:00:00,1779.875,nov,4.1
1779,12,1779-12-15 00:00:00,1779.9583333333333,dec,2.8
1780,1,1780-1-15 00:00:00,1780.0416666666667,jan,-3.8
1780,2,1780-2-15 00:00:00,1780.125,feb,-3
1780,3,1780-3-15 00:00:00,1780.2083333333333,mar,5.8
1780,4,1780-4-15 00:00:00,1780.2916666666667,apr,5.8
1780,5,1780-5-15 00:00:00,1780.375,may,12.9
1780,6,1780-6-15 00:00:00,1780.4583333333333,jun,15.1
1780,7,1780-7-15 00:00:00,1780.5416666666667,jul,16.7
1780,8,1780-8-15 00:00:00,1780.625,aug,17.9
1780,9,1780-9-15 00:00:00,1780.7083333333333,sep,13.1
1780,10,1780-10-15 00:00:00,1780.7916666666667,oct,9.4
1780,11,1780-11-15 00:00:00,1780.875,nov,3
1780,12,1780-12-15 00:00:00,1780.9583333333333,dec,-2
1781,1,1781-1-15 00:00:00,1781.0416666666667,jan,-2.3
1781,2,1781-2-15 00:00:00,1781.125,feb,0.7
1781,3,1781-3-15 00:00:00,1781.2083333333333,mar,4.1
1781,4,1781-4-15 00:00:00,1781.2916666666667,apr,9.1
1781,5,1781-5-15 00:00:00,1781.375,may,13.2
1781,6,1781-6-15 00:00:00,1781.4583333333333,jun,17.6
1781,7,1781-7-15 00:00:00,1781.5416666666667,jul,17.6
1781,8,1781-8-15 00:00:00,1781.625,aug,19.1
1781,9,1781-9-15 00:00:00,1781.7083333333333,sep,14.8
1781,10,1781-10-15 00:00:00,1781.7916666666667,oct,7.7
1781,11,1781-11-15 00:00:00,1781.875,nov,4
1781,12,1781-12-15 00:00:00,1781.9583333333333,dec,0
1782,1,1782-1-15 00:00:00,1782.0416666666667,jan,1.3
1782,2,1782-2-15 00:00:00,1782.125,feb,-4.2
1782,3,1782-3-15 00:00:00,1782.2083333333333,mar,2
1782,4,1782-4-15 00:00:00,1782.2916666666667,apr,6.2
1782,5,1782-5-15 00:00:00,1782.375,may,11.6
1782,6,1782-6-15 00:00:00,1782.4583333333333,jun,16.8
1782,7,1782-7-15 00:00:00,1782.5416666666667,jul,18.4
1782,8,1782-8-15 00:00:00,1782.625,aug,16.5
1782,9,1782-9-15 00:00:00,1782.7083333333333,sep,13.7
1782,10,1782-10-15 00:00:00,1782.7916666666667,oct,6.5
1782,11,1782-11-15 00:00:00,1782.875,nov,0.4
1782,12,1782-12-15 00:00:00,1782.9583333333333,dec,-0.9
1783,1,1783-1-15 00:00:00,1783.0416666666667,jan,1.7
